Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
XML Essential Training,"Extensible Markup Language (XML) was designed to make information sharing and data interpretation easier. Having a solid grasp of what XML is and how to work with it is essential for any developer. In this course, Joe Marini takes you through the basic rules of XML, explains its syntax, and covers more advanced topics such as styling your XML with CSS and manipulating XML content using XPath and XSLT.  From integrating XML into your site to using document type definitions and XML schema, this course covers what you need to know to not only get started with XML, but also master it.",Course,2023-02-06 02:42 UTC,N/A,false,N/A,
Foundations of Responsible AI,"How well do you understand the issues around algorithmic bias and unfairness? In this course, data scientist and AI ethicist Ayodele Odubela teaches you the principles of responsible AI, as well as the frameworks necessary to apply RAI techniques in AI systems. Ayodele explains modern AI development and problems in machine learning (ML) that differ from software engineering. She discusses big data and where it comes from, then covers several important points of data awareness and literacy. Ayodele goes over ethical frameworks, consequence scanning, fairness, accountability, and more. She also explains fairness-related harms, why they arise, why they matter, and what you can to avoid or mitigate them. Plus, Ayodele offers a detailed description of human rights as related to AI.",Course,2023-06-30 02:12 UTC,N/A,false,N/A,
Engineering Drawings for Manufacturing,"Preparing clear, complete engineering drawings is a critical skill for nearly every design engineer. New engineers have traditionally had to learn drafting skills on the job, usually by trial and error. This course teaches the practical skills needed to independently prepare clear drawings that satisfy industry standards. For the learner, this course can increase marketability and reduce frustration during the first months of a new career. For the employer, this course can reduce the time required to train new engineers and decrease the potential for costly mistakes due to poor drawings.<br><br>

Join the engineering team from Tarkka for this hands-on look at creating engineering drawings for manufacturing, from preparing your template and selecting the right drawing type to choosing and placing views, specifying dimensions, and setting tolerances. By the end of this course, you'll have the skills to create clear, complete drawings that hold up to the most exacting standards.<br><br>

This course was created by Tarkka. We are pleased to offer this training in our library.",Course,2021-06-14 12:05 UTC,N/A,false,N/A,
Revit: AR and VR Workflows,"Getting consistent results in virtual reality means keeping best practices in mind all the way through the development process. In this course, learn why virtual reality and augmented reality are good for business; which tools to use when incorporating immersive technology in your architecture, engineering, or construction practice; and how to create files in Revit that translate through to VR with predictable outcomes. As he shares how to effectively incorporate VR and AR into your practice, instructor Logan Smith details best practices for using your Revit model with VR and AR. Learn how to leverage tools such as Enscape and the Argyle app, how to efficiently create and populate materials in a project, and how to leverage 3D shortcuts to work faster and smarter in Revit.",Course,2022-09-05 21:20 UTC,N/A,false,N/A,
Excel: Lookup Functions in Depth,"Microsoft Excel offers a variety of powerful lookup functions that allow you to easily retrieve information across spreadsheets. In this course, Excel expert Dennis Taylor demystifies some of the most  significant lookup functions. Tune in to learn how to use the new XLOOKUP function, which can handle all the capabilities of the widely used VLOOKUP and HLOOKUP functions, in addition to providing more power and flexibility. Explore uses of the MATCH function and the newer, more robust XMATCH function to match up data, and learn how to extract data using the INDEX function. Discover how to restructure the lists being searched to ensure that you're using each function efficiently, and learn about dynamic array lookup functions like UNIQUE, SORT, SORTBY, and FILTER. Along the way, Dennis shares practical examples that help you grasp how to implement these functions in your workflow.",Course,2020-12-12 05:05 UTC,N/A,false,N/A,
Python Object-Oriented Programming,"The object-oriented programming (OOP) features in Python make it easier to build programs of increasing complexity and modularity. In this course, you can learn how to apply core OOP principles like inheritance and composition along with some Python-specific features like “magic” methods and data classes to build programs that are extensible and efficient. Begin by brushing up on some object-oriented basics, and then use Python features like magic methods to make your classes integrate tightly with the Python language and data classes to dramatically reduce the amount of boilerplate code needed to build data-centric objects.",Course,2021-03-03 17:53 UTC,N/A,false,N/A,
Data Visualizations with Plotly,"With Plotly, you can make charts and share graphs, so that your colleagues and friends can see your work. In this course, instructor Brett Vanderblock shows you how to evaluate what graph types to use in various situations, deploy Plotly for your own initiatives, and develop your own interactive graphs. Plotly is a data visualization library. Brett walks you through its key attributes and how to start using it. Creating charts is easy with Plotly, and Brett introduces you to basic charts, statistical charts, 3D plotting, mapping, and more. He shows you how to add interactive dropdowns and buttons to your charts and graphs, as well as how to create subplots and create a dashboard to combine visualizations.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2022-04-09 18:22 UTC,N/A,false,N/A,
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2022-12-26 00:10 UTC,N/A,false,N/A,
Python: Design Patterns (2015),"Design patterns encourage programming efficiency and code reuse. This course is a look at traditional design patterns as applied to Python. Jungwoo Ryoo covers 15 essential creational, structural, and behavioral patterns to help you solve common coding challenges, while introducing best practices that will keep your solutions consistent, complete, and correct.",Course,2020-05-22 11:40 UTC,N/A,false,N/A,
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2023-01-06 19:41 UTC,2023-01-06 19:41 UTC,false,N/A,
"Everyday Statistics, with Eddie Davila","Statistics help us make sense of the world around us. These numbers help everyone from political pollsters to fantasy football aficionados make informed calls based on the mountains of data at their disposal. In this weekly series, learn how to decode the statistics that pop up on a daily basis. Eddie Davila explores a new eclectic, real-world topic each week. Learn how stats are used to find the average score on a test, how casinos use stats to ensure that the house will usually win, and more.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2023-02-02 21:35 UTC,N/A,false,N/A,
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, <i>The Miracle Morning</i>. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.<br><br>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2021-02-05 07:48 UTC,N/A,false,N/A,
SQL: Data Reporting and Analysis,"Do you rely on IT to get the data you need? Are you often stuck waiting in line for data, and wish you could just retrieve it yourself? In this course, learn how to get the data you want by writing a bit of SQL code. You won't just be able to pull data out of the database, you'll be able to manipulate it—merging it, grouping it, and relabeling it to get just the report you want. Join Emma Saunders as she shows how to write simple SQL queries for data reporting and analysis using a publicly accessible online database. Learn how to filter, group, and sort data, using built-in SQL functions to format or calculate results. Discover how to perform more complex queries, such as joining data together from different database tables. Last but not least, she introduces views, procedures, functions, and variables.",Course,2023-01-09 15:15 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:3011745,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:3011745,Course,2022-04-15 23:09 UTC,N/A,false,N/A,
Learning SQL Programming,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6758092793329016832?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Programming Languages Newsletter</a></div><br>Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats.",Course,2022-11-28 18:11 UTC,N/A,false,N/A,
Building Trust (2018),"Trust is a fundamental aspect of any productive relationship. In business, trust has been proven to decrease turnover, increase innovation, and improve team performance. When trust is compromised, relationships and productivity can suffer. This course shows how professionals of all kinds can build trust with colleagues across their organization. Kelley School of Business senior lecturer Brenda Bailey-Hughes explains how to prove you are trustworthy, even in challenging situations like remote teams, and integrate trust-building habits into your daily routine. She also explains how to practice trust—trusting yourself and others—and rebuild trust when it has been lost. The course features live-action scenarios and practical strategies for boosting trust that will help you apply the concepts to your most important relationships.",Course,2019-08-27 04:27 UTC,N/A,false,N/A,
DJ Patil: Ask Me Anything,"DJ Patil—the former US chief data scientist—boasts a unique perspective on the future, risks, and all-around power of data. In addition to shaping policies at the White House, he's authored influential academic papers and served as head of data products at LinkedIn, where he helped to coin the term ""data scientist."" In this weekly series, DJ tackles questions posed by LinkedIn members, diving into topics ranging from data security to the future of data science. Tune in every Wednesday for a fresh set of answers.",Course,2022-04-02 00:46 UTC,N/A,false,N/A,
AWS for Developers: PayPal Payment Processing with Lambdas,"In many cases payment processing can require a server-side piece, which can be difficult and confusing. AWS provides Lambdas which can solve many of the problems by removing the server configuration and maintenance while still providing the necessary functionality. This course contains the straightforward steps involved in implementing PayPal payment processing using Lambdas. Bear Cahill covers setting up resources, leveraging a local Ruby script with Braintree, creating a Lambda from a Ruby script, calling from an API gateway, handling client payments, and more.",Course,2019-10-08 03:11 UTC,N/A,false,N/A,
Succeeding in DevOps,"DevOps engineer is one of the most in-demand tech jobs on the market. But since this role is still relatively new, aspiring DevOps engineers may have a somewhat murky understanding of what the position entails. In this course, Laura Stone clearly outlines what's expected of DevOps practitioners, as well as what it takes to become a DevOps engineer (and how to excel once you've landed the job). She begins by highlighting the basic qualifications and training needed to land a job as a DevOps practitioner. Next, she provides a technical roadmap for the skills needed to gain an entry-level role in DevOps; shares tips from a DevOps recruiter;  and provides steps for measuring progress and achieving your goals throughout your DevOps career.",Course,2023-03-30 20:31 UTC,N/A,false,N/A,
Python Essential Training (2018),"Due to its power and simplicity, Python has become the scripting language of choice for many large organizations, including Google, Yahoo, and IBM. A thorough understanding of Python 3, the latest version, will help you write more efficient and effective scripts. In this course, Bill Weinman demonstrates how to use Python 3 to create well-designed scripts and maintain existing projects. This course covers the basics of the language syntax and usage, as well as advanced features such as objects, generators, and exceptions. Learn how types and values are related to objects; how to use control statements, loops, and functions; and how to work with generators and decorators. Bill also introduces the Python module system and shows examples of Python scripting at work in a real-world application.",Course,2020-10-25 19:57 UTC,N/A,false,N/A,
Project Management Foundations: Requirements,"<div><a href=""https://www.linkedin.com/newsletters/6772655634862223360?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Daniel's LinkedIn Newsletter</a></div><br>Project requirements are how project managers determine what the business needs and align the project’s goals. Requirements also form the basis for defining a project’s scope, assigning resources, and performing acceptance testing. In this course, Daniel Stanton, PMP, introduces an easy, 10-step process to manage the requirements for any project. Find out how to determine applicable standards, identify your stakeholders, gather and analyze requirements, prioritize them, and document your findings. Daniel also explains how to solicit approval for project requirements and manage ongoing change requests.",Course,2020-11-02 18:48 UTC,N/A,false,N/A,
Creating Your First Spring Boot Microservice,"Turbocharge your back-end Java RESTful API development with Spring Boot and Spring Data technologies. This course is intended for experienced Java developers who want to rapidly build microservices that connect with relational databases via the Java Persistence API (JPA). Here, Mary Ellen Bowman walks you through a step-by-step process for building a microservice with an exposed RESTful API featuring HATEOAS, paging, and sorting. Learn about technologies such as Spring Boot, Spring Data JPA, and Spring Data REST, and see how they all come together into smart and elegant solutions. To wrap up, Mary Ellen guides developers in migrating a microservice to a MongoDB data source.",Course,2020-02-26 10:37 UTC,N/A,false,N/A,
Nano Tips for Finding Happiness Through Empathy with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.
<br><br>Happiness is a mindset that begins with empathy for yourself and others - and it is core to fulfillment and success. Join leadership strategist and award-winning peak performance educator Shadé Zahrai as she shares 10 nano tips for elevating your empathy to enhance relationships, foster psychological safety, and create a happy life and career. Shadé explains three types of empathy, offers simple techniques on how to navigate conflict, shares actionable tools to empower others and yourself, and more.",Course,2022-11-29 07:36 UTC,N/A,false,N/A,
Python for Data Science Essential Training,"By using Python to glean value from your raw data, you can simplify the often complex journey from data to value. In this practical, hands-on course, learn how to use Python for data preparation, data munging, data visualization, and predictive analytics. Instructor Lillian Pierson, P.E. covers the essential Python methods for preparing, cleaning, reformatting, and visualizing your data for use in analytics and data science. She helps to provide you with a working understanding of machine learning, as well as outlier analysis, cluster analysis, and network analysis. Plus, Lillian explains how to create web-based data visualizations with Plot.ly, and how to use Python to scrape the web and capture your own data sets.",Course,2017-09-26 12:47 UTC,N/A,true,N/A,
Accelerating Your Career with Personal Branding,"When it comes to accelerating your career, you can’t ignore the importance of your personal brand. Your brand is your voice, your reputation, and a key part of your professional persona. In this course, explore how to use your personal brand to boost your career with award-winning leadership strategist Shadé Zahrai.<br><br>Learn how to get started crafting a standout brand of your own, with practical advice to help you grow, gain recognition, and open new professional doors. Find out how to create compelling and unforgettable personal content, develop authentic work relationships, and elevate your influence along the way. By the end of this course, you’ll be better poised to manage your brand online and cultivate a lasting impression on the job.",Course,2023-01-06 04:31 UTC,N/A,false,N/A,
Big Data Analytics with Hadoop and Apache Spark,"Apache Hadoop was a pioneer in the world of big data technologies, and it continues to be a leader in enterprise big data storage. Apache Spark is the top big data processing engine and provides an impressive array of features and capabilities. When used together, the Hadoop Distributed File System (HDFS) and Spark can provide a truly scalable big data analytics setup. In this course, learn how to leverage these two technologies to build scalable and optimized data analytics pipelines. Instructor Kumaran Ponnambalam explores ways to optimize data modeling and storage on HDFS; discusses scalable data ingestion and extraction using Spark; and provides tips for optimizing data processing in Spark. Plus, he provides a use case project that allows you to practice your new techniques.",Course,2022-06-20 14:20 UTC,N/A,false,N/A,
Excel: Tips and Tricks (2018),"Want to take your Excel game to the next level? In this course, veteran Excel trainer and instructor Dennis Taylor shares powerful tips, tricks, and shortcuts that can help you leverage more of what Excel has to offer. Learn time-saving tricks for creating formulas rapidly, accelerating data entry, and navigating within worksheets efficiently. Plus, discover drag and drop techniques, formatting shortcuts, charting and PivotTable tips, and much more.</br></br>

Note: This course was recorded on Excel for Office 365; however, most of the contents will benefit anyone using Office 2019 or 2016.",Course,2022-07-06 17:58 UTC,N/A,false,N/A,
Level Up: SQL,"These concise (less than 3:30) SQL challenges let you stretch your brain and test your talents. Instructor Scott Simpson frames the challenges in real-world scenarios you might encounter. Tasks range from creating a table to store party guest information to creating a query to find books to feature for a library event.<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.<br><br>Each installment of the <em>Level Up</em> series offers at least 15 bite-sized opportunities to practice programming at various levels of difficulty, so you can challenge yourself and reinforce what you’ve learned. Check out the ""Using GitHub Codespaces with this course"" video to learn how to get a codespace up and running.",Course,2023-04-13 17:04 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2021-01-15 19:31 UTC,N/A,false,N/A,
Learning Excel: Data Analysis,"Microsoft Excel is an important tool for data analysis. It helps companies accurately assess situations and make better business decisions. This course helps you unlock the power of your organization's data using the data analysis and visualization tools built into Excel. Author Curt Frye starts with the foundational concepts, including basic calculations such as mean, median, and standard deviation, and provides an introduction to the central limit theorem. He then shows how to visualize data, relationships, and future results with Excel's histograms, graphs, and charts. He also covers testing hypotheses; modeling different data distributions; calculating the covariance and correlation between data sets; and calculating probabilities, combinations, and permutations. Finally, he reviews the process of calculating Bayesian probabilities in Excel. Each chapter includes practical examples that show how to apply the techniques to real-world business problems.",Course,2022-12-30 23:12 UTC,N/A,false,N/A,
Stepping Up Your Webcam Video Presence,"Nearly everyone has a webcam, but many people don’t put the effort into enhancing their webcam video presence. But with just a few relatively easy and inexpensive tweaks, you can capture well-composed, well-lit shots with great audio using the humble webcam. In this course, senior staff instructor Ashley Kennedy shows you how to represent your best self in meetings, as well as presentations, trainings, vlogs, interviews, demos, Q&As, and other types of web videos. Learn basic strategies for optimizing your system and your webcam, staging and lighting your shot, capturing high-quality audio, scripting and rehearsing for big-stakes webcam presentations, and more.",Course,2023-06-08 15:44 UTC,N/A,false,N/A,
Advanced Linux: The Linux Kernel,"What lies at the heart of the Linux operating system? The Linux kernel. Every Linux professional—including those in system administration, operations, and software development—needs to be familiar with the functionality of the Linux kernel as well as the mechanics of configuring and troubleshooting it. Master the fundamentals in this course with Kevin Dankwardt.<br/><br/>Kevin surveys the Linux kernel specification, boot process, and loadable kernel modules. He provides opportunities for you to practice techniques such as searching Linux kernel source code and configuring a Linux kernel from scratch. Challenge and solution videos at the end of almost every chapter allow you to test your new Linux skills along the way.",Course,2022-10-24 16:05 UTC,N/A,false,N/A,
Social Recruiting for Recruiters,"Recruiting talented candidates via social channels has become an important part of a recruiter's job. But how does one best tackle this channel? In this course, instructor Bert Verdonck shares strategies that can help recruiters efficiently and successfully recruit top talent on social platforms. Bert explains how social recruiting fits into the overall recruiting process, which social platforms to focus on, and how to jump-start your social media recruiting presence. He also shares how to find and approach ideal candidates, collaborate with hiring managers, and drive referral recruitment.",Course,2022-03-22 05:11 UTC,N/A,false,N/A,
